name,dob,height,reach,weight_lbs,stance,fights_in_ufc,last_fight_date,last_weight_lbs,global_elo,peak_elo,win_streak,loss_streak,sum_win_elo,count_win_elo,total_fight_time_sec,deep_water_fights,total_finishes,late_finishes,champ_finishes,ko_losses,late_losses,total_decisions,dec_wins,all_time_slpm,ema_slpm,all_time_sapm,ema_sapm,all_time_str_att_rate,ema_str_att_rate,all_time_sig_acc,ema_sig_acc,all_time_sig_def,ema_sig_def,all_time_sig_to_total,ema_sig_to_total,all_time_head_hunter,ema_head_hunter,all_time_body_snatcher,ema_body_snatcher,all_time_leg_kicker,ema_leg_kicker,all_time_dist_pct,ema_dist_pct,all_time_clinch_pct,ema_clinch_pct,all_time_gnp_pct,ema_gnp_pct,all_time_kd_yield,ema_kd_yield,all_time_head_def,ema_head_def,all_time_body_def,ema_body_def,all_time_leg_def,ema_leg_def,all_time_chin_vuln,ema_chin_vuln,all_time_sprawl_def,ema_sprawl_def,all_time_td_absorbed_pm,ema_td_absorbed_pm,all_time_sub_danger,ema_sub_danger,all_time_sweeps_absorbed,ema_sweeps_absorbed,all_time_td_att_rate_15m,ema_td_att_rate_15m,all_time_td_landed_rate_15m,ema_td_landed_rate_15m,all_time_td_acc,ema_td_acc,all_time_ctrl_ratio,ema_ctrl_ratio,all_time_ctrl_per_td,ema_ctrl_per_td,all_time_sub_att_rate_15m,ema_sub_att_rate_15m,all_time_sub_agg,ema_sub_agg,all_time_sweep_rate_15m,ema_sweep_rate_15m,all_time_fight_time_sec,ema_fight_time_sec,all_time_opp_elo,ema_opp_elo,all_time_fights_per_year,ema_fights_per_year,primary_weight,div_elo_json,peak_div_elo_json,strike_elo,grapple_elo
Rex Holman,,190.5,181.64664388762338,205.0,Southpaw,1,2007-03-03 00:00:00,205.0,1146.1791036802244,1200.0,0,1,0.0,0,0.0,0,1,0,0,1,0,0,0,2.75,2.75,7.25,7.25,8.0,8.0,0.34375,0.34375,0.40816326530612246,0.40816326530612246,0.7333333333333333,0.7333333333333333,0.625,0.625,0.0625,0.0625,0.3125,0.3125,0.9090909090909091,0.9090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.4042553191489362,0.4042553191489362,0.5,0.5,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,1307.0959954371458,1307.0959954371458,0.0,0.0,205.0,"{""Light Heavyweight"": 1146.1791036802244}","{""Light Heavyweight"": 1146.1791036802244}",1000.0,1000.0
Dan Miller,1981-06-30 00:00:00,185.42,187.96,185.0,Orthodox,13,2015-07-12 00:00:00,185.0,1133.9040375766833,1338.2163694487924,0,2,7004.8967265885385,6,0.0,9,1,0,0,1,6,0,0,1.9670338676829842,2.310524502130301,2.988233403812199,4.175629057701956,5.625378226318325,5.794420859470098,0.35173687780651974,0.4044353999244093,0.5109631765816987,0.4140591640198771,0.5815175215068699,0.7727596855143503,0.842972976977948,0.7895473868561163,0.1115693565363862,0.16787714153771421,0.0454576664856657,0.04398784785116947,0.584418759885653,0.6970870209595471,0.1609899438422358,0.2159333974804159,0.17766821934903426,0.08697958156003675,0.3174315690175269,1.0721699231668405,0.5677306640539449,0.48351485069031286,0.32371794871794873,0.15090913567099992,0.31144465290806755,0.24541825660731703,0.004770275880955115,0.015971855372302363,0.6214285714285716,0.643406906005,0.17393228240685865,0.11458930780346172,0.035897435897435895,0.013313889143333325,0.3076923076923077,0.19286753485999988,2.5320092817388167,2.6368310059797726,1.3224222585924714,1.2097236605374464,0.2543326753824825,0.286693565145106,0.23369619150498808,0.11458122005127305,201.71322088390554,203.35307796678333,5.093847501963944,2.372362174785861,3.2229005527120886,2.909962441936674,1.1758241758241756,0.5064360699999997,679.7692307692307,718.809561103197,1241.720221947049,1206.0207804057127,2.9014401163754284,1.77981034587556,185.0,"{""Middleweight"": 1168.3377367135233, ""Welterweight"": 1178.710525521216}","{""Middleweight"": 1338.2216336014267, ""Welterweight"": 1235.5452134807913}",958.5213235683246,1028.77686181927
Felipe Franco,2001-01-22 00:00:00,185.42,193.04,205.0,Orthodox,2,2026-07-18 00:00:00,205.0,1230.424861888182,1230.424861888182,1,0,1200.0,1,0.0,1,1,0,0,0,1,0,0,3.6249999999999996,2.735,1.9583333333333333,2.0816666666666666,6.2,5.32,0.5232142857142856,0.45392857142857135,0.5350215517241379,0.48653017241379315,0.55,0.47,0.9160714285714285,0.8896428571428571,0.07559523809523809,0.09869047619047618,0.008333333333333333,0.011666666666666665,0.4633699633699634,0.5256410256410257,0.19047619047619047,0.2666666666666666,0.34615384615384615,0.6923076923076923,0.0,0.0,0.6099537037037037,0.5576388888888888,0.5714285714285714,0.4,0.09999999999999998,0.19999999999999996,0.0,0.0,0.9285714285714286,0.8999999999999999,0.06666666666666667,0.09333333333333332,0.0,0.0,0.0,0.0,7.25,4.75,3.375,6.75,0.24590163934426232,0.49180327868852464,0.28875,0.5775,37.25806451612903,74.51612903225806,0.0,0.0,0.0,0.0,0.0,0.0,650.0,750.0,1246.547624825568,1265.1666747557952,1.5336134453781514,3.0672268907563027,265.0,"{""Heavyweight"": 1162.953407587199, ""Light Heavyweight"": 1234.4982955517023}","{""Heavyweight"": 1162.953407587199, ""Light Heavyweight"": 1234.4982955517023}",983.8991082746478,988.6212010809509
Caio Borralho,1993-01-16 00:00:00,185.42,190.5,185.0,Southpaw,9,2026-03-07 00:00:00,185.0,1494.8833004430983,1505.3241576922344,1,0,10449.263791224797,8,0.0,7,1,0,0,0,1,0,0,3.2916092259967744,3.7678818256914344,2.6143293947426285,3.0939588924310133,5.729970881364951,6.740293545906507,0.5687726138868086,0.5563928944073524,0.5871288052986121,0.5890506415899943,0.6461200928010232,0.7585257996677541,0.7029935203161162,0.7011528237768441,0.18537281610740003,0.17516153979240068,0.11163366357648383,0.123685636430755,0.7757595821279699,0.8601742536007205,0.04550672229356607,0.0383859529004945,0.17873369557846408,0.10143979349878487,0.5977997921178637,0.8509202409739067,0.7242755294375005,0.6875178961227937,0.44040098387924476,0.42111383415133774,0.3183221099887767,0.2516240665151515,0.0,0.0,0.8055555555555556,0.8608812949999998,0.03760411128832181,0.048843376985645934,0.0,0.0,0.22222222222222227,0.11764899999999995,2.7989349221085273,1.9269524032921512,1.425942740161122,0.7864512640384203,0.39672103317233504,0.38611625001314975,0.29284689287242005,0.18467077262370507,529.2736968425402,557.0005195903153,0.5021085050935796,0.4202547164179103,0.1331851054927978,0.13066378483055402,0.45295055821371616,0.16794535478468892,926.111111111111,1040.4160763599998,1327.9651526793618,1388.3803026000785,2.213265386876498,2.206873600152625,185.0,"{""Middleweight"": 1495.60241886968}","{""Middleweight"": 1504.4352846204345}",1091.6619196191423,1078.8218569432702
Matt Schnell,1990-01-15 00:00:00,172.72,177.8,125.0,Orthodox,17,2026-06-06 00:00:00,155.0,1039.9940192140396,1239.3462854743743,0,2,8449.464552321002,7,0.0,5,6,0,0,6,0,0,0,3.960415372593381,3.356893042018255,4.920374367147404,4.773536463495586,10.210045392393356,8.280454735288192,0.39483216605160903,0.41444640537028626,0.4471952872861497,0.38730656677272957,0.7785468078927196,0.8121025463940545,0.8415475171506467,0.8336095434957584,0.08600520753947019,0.09456550528178984,0.07244727530988303,0.07182495122245147,0.8445250392254594,0.8628526788364836,0.08032149513296476,0.037938315172861,0.07515346564157577,0.10326339089425528,0.4861448711716093,0.6806140495867767,0.49610018248963994,0.39365026296172523,0.4367710720651897,0.46181035470094073,0.23014663355220633,0.35448937141419057,0.017531984318216415,0.027368464744110706,0.6418067226890757,0.8149953347452241,0.10557528915330541,0.06160479358799763,0.07682020283463806,0.1129206719118834,0.23529411764705882,0.5922979999999999,1.5971588897367246,1.60837199572281,0.9599087417265312,1.233908907456907,0.19837847162325345,0.221770726621042,0.07139341148524012,0.0768603390591189,185.33740769034887,361.86129293092034,1.7961684032751781,0.6739338398524756,1.3372184784445569,0.23948772630922924,0.4569504984679125,1.4209446625091708,447.52941176470586,349.69326521173497,1234.7793346081323,1212.1393896283173,1.9730435280871566,1.871646794289492,125.0,"{""Bantamweight"": 1155.0277636548415, ""Flyweight"": 1091.6256301486314, ""Catchweight"": 1051.8554253838738}","{""Bantamweight"": 1194.4361312026895, ""Flyweight"": 1197.1344558820292, ""Catchweight"": 1051.8554253838738}",968.5283224480676,1004.8404558131376
Shawn Teed,1992-02-13 00:00:00,195.57999999999998,181.64664388762338,265.0,Orthodox,0,,0.0,1200.0,1200.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,{},{},,
Alex Hunter,,175.26,181.64664388762338,226.0,Orthodox,0,,0.0,1200.0,1200.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,{},{},,
Ian Escuza,1996-04-28 00:00:00,178.08301833568407,181.64664388762338,145.0,Orthodox,0,,0.0,1200.0,1200.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,{},{},,
Jon Murphy,1977-08-09 00:00:00,190.5,181.64664388762338,260.0,Orthodox,0,,0.0,1200.0,1200.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,{},{},,
Sung Bin Jo,1992-07-17 00:00:00,182.88,182.88,145.0,Orthodox,1,2019-06-01 00:00:00,145.0,1144.0112983096549,1200.0,0,1,0.0,0,0.0,1,0,0,0,0,1,0,0,1.4,1.4,2.6666666666666665,2.6666666666666665,4.2,4.2,0.3333333333333333,0.3333333333333333,0.5180722891566265,0.5180722891566265,0.9130434782608695,0.9130434782608695,0.8412698412698413,0.8412698412698413,0.14285714285714285,0.14285714285714285,0.015873015873015872,0.015873015873015872,0.5714285714285714,0.5714285714285714,0.38095238095238093,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.0,0.0,0.5849056603773585,0.5849056603773585,0.16666666666666663,0.16666666666666663,0.45833333333333337,0.45833333333333337,0.0,0.0,0.8333333333333334,0.8333333333333334,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.3225806451612903,0.3225806451612903,0.011111111111111112,0.011111111111111112,9.09090909090909,9.09090909090909,1.0,1.0,3.75,3.75,0.0,0.0,900.0,900.0,1070.1136882039154,1070.1136882039154,0.0,0.0,145.0,"{""Featherweight"": 1144.3231380690333}","{""Featherweight"": 1144.3231380690333}",1000.0,1000.0
